MIT1002-mutant-library,MIT1002-used-for-model,ATCC27126_new,ATCC27126_old,HOT1A3_new,HOT1A3_old
MIT1002_00827,TK37_RS03885,MASE_RS03335,MASE_03365,ACZ81_RS03730,ACZ81_03740
MIT1002_00828,TK37_RS03890,MASE_RS03340,MASE_03370,ACZ81_RS03735,ACZ81_03745
MIT1002_00829,TK37_RS03895,MASE_RS03345,MASE_03375,ACZ81_RS03740,ACZ81_03750
MIT1002_00830,TK37_RS03900,MASE_RS03350,MASE_03380,ACZ81_RS03745,ACZ81_03755
MIT1002_00831,TK37_RS03905,MASE_RS03355,MASE_03385,ACZ81_RS03750,ACZ81_03760
MIT1002_00832,TK37_RS03910,MASE_RS03360,MASE_03390,ACZ81_RS03755,ACZ81_03765
MIT1002_00833,TK37_RS03915,MASE_RS03365,MASE_03395,ACZ81_RS03760,ACZ81_03770
MIT1002_00834,TK37_RS03920,MASE_RS03370,MASE_03400,ACZ81_RS03765,ACZ81_03775
MIT1002_00835,TK37_RS03925,MASE_RS03375,MASE_03405,ACZ81_RS03770,ACZ81_03780
MIT1002_00836,TK37_RS03930,MASE_RS03380,MASE_03410,ACZ81_RS03775,ACZ81_03785
MIT1002_00837,TK37_RS03935,MASE_RS03385,MASE_03415,ACZ81_RS03780,ACZ81_03790
MIT1002_00838,TK37_RS03940,MASE_RS03390,MASE_03420,ACZ81_RS03785,ACZ81_03795
MIT1002_00839,TK37_RS03945,MASE_RS03395,MASE_03425,ACZ81_RS03790,ACZ81_03800
MIT1002_00840,TK37_RS03950,MASE_RS03400,MASE_03430,ACZ81_RS03795,ACZ81_03805
MIT1002_00841,TK37_RS03955,MASE_RS03405,MASE_03435,ACZ81_RS03805,ACZ81_03815
MIT1002_00842,TK37_RS03960,MASE_RS03410,MASE_03440,ACZ81_RS03810,ACZ81_03820
MIT1002_00843,TK37_RS03965,MASE_RS03415,MASE_03445,ACZ81_RS03815,ACZ81_03825
MIT1002_00844,TK37_RS03970,MASE_RS03420,MASE_03450,ACZ81_RS03820,ACZ81_03830
MIT1002_00845,TK37_RS03975,MASE_RS03425,MASE_03455,ACZ81_RS03830,ACZ81_03840
MIT1002_00846,TK37_RS03980,MASE_RS03455,MASE_03480,ACZ81_RS03845,ACZ81_03855
MIT1002_00847,TK37_RS03985,MASE_RS03460,MASE_03485,ACZ81_RS03850,ACZ81_03860
MIT1002_00848,TK37_RS03990,MASE_RS03485,MASE_03510,ACZ81_RS03875,ACZ81_03885
MIT1002_00849,TK37_RS03995,MASE_RS03490,MASE_03515,ACZ81_RS03880,ACZ81_03890
MIT1002_00850,TK37_RS04000,MASE_RS03495,MASE_03520,ACZ81_RS03885,ACZ81_03895
MIT1002_00853,TK37_RS04005,MASE_RS03500,MASE_03530,ACZ81_RS03895,ACZ81_03900
MIT1002_00854,TK37_RS04010,MASE_RS03505,MASE_03535,ACZ81_RS03900,ACZ81_03905
MIT1002_00855,TK37_RS04015,MASE_RS03510,MASE_03540,ACZ81_RS03905,ACZ81_03910
MIT1002_00856,TK37_RS04020,MASE_RS03515,MASE_03545,ACZ81_RS03910,ACZ81_03915
MIT1002_00857,TK37_RS04025,MASE_RS03520,MASE_03550,ACZ81_RS03915,ACZ81_03920
MIT1002_00858,TK37_RS04030,MASE_RS03525,MASE_03555,ACZ81_RS03920,ACZ81_03925
MIT1002_00859,TK37_RS04035,MASE_RS03530,MASE_03560,ACZ81_RS03925,ACZ81_03930
MIT1002_00860,TK37_RS04040,MASE_RS03535,MASE_03565,ACZ81_RS03930,ACZ81_03935
MIT1002_00861,TK37_RS04045,MASE_RS03540,MASE_03570,ACZ81_RS03935,ACZ81_03940
MIT1002_00862,TK37_RS04050,MASE_RS03545,MASE_03575,ACZ81_RS03940,ACZ81_03945
MIT1002_00863,TK37_RS04055,MASE_RS03550,MASE_03580,ACZ81_RS03945,ACZ81_03950
MIT1002_00864,TK37_RS04060,MASE_RS03555,MASE_03585,ACZ81_RS03955,ACZ81_03960
MIT1002_00865,TK37_RS04065,MASE_RS19865,MASE_03610,ACZ81_RS03980,ACZ81_03985
MIT1002_00866,TK37_RS04070,MASE_RS03580,MASE_03615,ACZ81_RS03985,ACZ81_03990
MIT1002_00868,TK37_RS04080,MASE_RS03590,MASE_03635,ACZ81_RS03995,ACZ81_04000
MIT1002_00869,TK37_RS04085,MASE_RS03595,MASE_03640,ACZ81_RS04000,ACZ81_04005
MIT1002_00870,TK37_RS04090,MASE_RS03600,MASE_03645,ACZ81_RS04005,ACZ81_04010
MIT1002_00871,TK37_RS04095,MASE_RS03610,MASE_03655,ACZ81_RS04010,ACZ81_04015
MIT1002_00872,TK37_RS04100,MASE_RS03615,MASE_03660,ACZ81_RS04015,ACZ81_04020
MIT1002_00873,TK37_RS04105,MASE_RS03620,MASE_03665,ACZ81_RS04020,ACZ81_04025
MIT1002_00874,TK37_RS04110,MASE_RS03625,MASE_03670,ACZ81_RS04025,ACZ81_04030
MIT1002_00875,TK37_RS04115,MASE_RS03630,MASE_03675,ACZ81_RS04030,ACZ81_04035
MIT1002_00876,TK37_RS04120,MASE_RS03635,MASE_03680,ACZ81_RS04035,ACZ81_04040
MIT1002_00877,TK37_RS04125,MASE_RS03640,MASE_03685,ACZ81_RS04040,ACZ81_04045
MIT1002_00878,TK37_RS04130,MASE_RS03645,MASE_03690,ACZ81_RS04045,ACZ81_04050
MIT1002_00879,TK37_RS04135,MASE_RS03650,MASE_03695,ACZ81_RS04050,ACZ81_04055
MIT1002_00881,TK37_RS04140,MASE_RS03655,MASE_03700,ACZ81_RS04055,ACZ81_04060
MIT1002_00882,TK37_RS04145,MASE_RS03660,MASE_03705,ACZ81_RS04060,ACZ81_04065
MIT1002_00883,TK37_RS04150,MASE_RS03665,MASE_03710,ACZ81_RS04065,ACZ81_04070
MIT1002_00884,TK37_RS04155,MASE_RS03670,MASE_03715,ACZ81_RS04070,ACZ81_04075
MIT1002_00885,TK37_RS04160,MASE_RS03675,MASE_03720,ACZ81_RS04075,ACZ81_04080
MIT1002_00886,TK37_RS04165,MASE_RS03680,MASE_03725,ACZ81_RS04080,ACZ81_04085
MIT1002_00888,TK37_RS04175,MASE_RS03690,MASE_03735,ACZ81_RS04090,ACZ81_04095
MIT1002_00889,TK37_RS04180,MASE_RS03695,MASE_03740,ACZ81_RS04095,ACZ81_04100
MIT1002_00890,TK37_RS04185,MASE_RS03700,MASE_03745,ACZ81_RS04100,ACZ81_04105
MIT1002_00891,TK37_RS04190,MASE_RS03705,MASE_03750,ACZ81_RS04105,ACZ81_04110
MIT1002_00893,TK37_RS19220,MASE_RS03710,MASE_03755,ACZ81_RS04115,ACZ81_04120
MIT1002_00894,TK37_RS19225,MASE_RS03715,MASE_03760,ACZ81_RS04120,ACZ81_04125
MIT1002_00896,TK37_RS19235,MASE_RS03725,MASE_03770,ACZ81_RS04130,ACZ81_04135
MIT1002_00897,TK37_RS19240,MASE_RS03745,MASE_03790,ACZ81_RS04135,ACZ81_04140
MIT1002_00898,TK37_RS19245,MASE_RS03750,MASE_03795,ACZ81_RS04140,ACZ81_04145
MIT1002_00899,TK37_RS19250,MASE_RS19380,MASE_19415,ACZ81_RS04145,ACZ81_04150
MIT1002_00900,TK37_RS19255,MASE_RS19410,MASE_19445,ACZ81_RS04150,ACZ81_04155
MIT1002_00901,TK37_RS19260,MASE_RS19415,MASE_19450,ACZ81_RS04155,ACZ81_04160
MIT1002_00902,TK37_RS19265,MASE_RS19420,MASE_19455,ACZ81_RS04160,ACZ81_04165
MIT1002_00903,TK37_RS19270,MASE_RS19425,MASE_19460,ACZ81_RS04165,ACZ81_04170
MIT1002_00904,TK37_RS19275,MASE_RS03805,MASE_03850,ACZ81_RS04170,ACZ81_04175
MIT1002_00905,TK37_RS19280,MASE_RS19435,MASE_19475,ACZ81_RS04175,ACZ81_04180
MIT1002_00906,TK37_RS19285,MASE_RS19440,MASE_19480,ACZ81_RS04180,ACZ81_04185
MIT1002_00907,TK37_RS19290,MASE_RS17170,MASE_17190,ACZ81_RS04185,ACZ81_04190
MIT1002_00909,TK37_RS02290,MASE_RS19450,MASE_19490,ACZ81_RS04190,ACZ81_04195
MIT1002_00910,TK37_RS02295,MASE_RS19455,MASE_19495,ACZ81_RS04195,ACZ81_04200
MIT1002_00911,TK37_RS02300,MASE_RS19460,MASE_19500,ACZ81_RS04200,ACZ81_04205
MIT1002_00912,TK37_RS02305,MASE_RS19465,MASE_19505,ACZ81_RS04205,ACZ81_04210
MIT1002_00913,TK37_RS02310,MASE_RS19475,MASE_19515,ACZ81_RS04210,ACZ81_04215
MIT1002_00914,TK37_RS02315,MASE_RS19480,MASE_19520,ACZ81_RS04215,ACZ81_04220
MIT1002_00915,TK37_RS02320,MASE_RS03835,MASE_03880,ACZ81_RS04220,ACZ81_04225
MIT1002_00916,TK37_RS02325,MASE_RS03845,MASE_03890,ACZ81_RS04225,ACZ81_04230
MIT1002_00923,TK37_RS02355,MASE_RS03850,MASE_03895,ACZ81_RS04255,ACZ81_04260
MIT1002_00925,TK37_RS02365,MASE_RS03930,MASE_03970,ACZ81_RS04430,ACZ81_04435
MIT1002_00926,TK37_RS02370,MASE_RS03935,MASE_03975,ACZ81_RS04435,ACZ81_04440
MIT1002_00927,TK37_RS02375,MASE_RS03940,MASE_03980,ACZ81_RS04440,ACZ81_04445
MIT1002_00928,TK37_RS02380,MASE_RS03945,MASE_03985,ACZ81_RS04445,ACZ81_04450
MIT1002_00929,TK37_RS02385,MASE_RS03950,MASE_03990,ACZ81_RS04450,ACZ81_04455
MIT1002_00930,TK37_RS02390,MASE_RS03955,MASE_03995,ACZ81_RS04455,ACZ81_04460
MIT1002_00931,TK37_RS02395,MASE_RS03960,MASE_04000,ACZ81_RS04460,ACZ81_04465
MIT1002_00932,TK37_RS02400,MASE_RS03965,MASE_04005,ACZ81_RS04465,ACZ81_04470
MIT1002_00933,TK37_RS02405,MASE_RS03970,MASE_04010,ACZ81_RS04470,ACZ81_04475
MIT1002_00934,TK37_RS02410,MASE_RS03980,MASE_04015,ACZ81_RS04475,ACZ81_04480
MIT1002_00935,TK37_RS02415,MASE_RS03985,MASE_04020,ACZ81_RS04480,ACZ81_04485
MIT1002_00936,TK37_RS02420,MASE_RS03990,MASE_04025,ACZ81_RS04485,ACZ81_04490
MIT1002_00937,TK37_RS02425,MASE_RS03995,MASE_04030,ACZ81_RS04490,ACZ81_04495
MIT1002_00938,TK37_RS02430,MASE_RS04000,MASE_04035,ACZ81_RS04495,ACZ81_04500
MIT1002_00939,TK37_RS02435,MASE_RS04005,MASE_04040,ACZ81_RS04505,ACZ81_04510
MIT1002_00940,TK37_RS02440,MASE_RS04010,MASE_04045,ACZ81_RS04510,ACZ81_04515
MIT1002_00941,TK37_RS02445,MASE_RS04015,MASE_04050,ACZ81_RS04515,ACZ81_04520
MIT1002_00942,TK37_RS02450,MASE_RS04030,MASE_04065,ACZ81_RS04530,ACZ81_04535
MIT1002_00943,TK37_RS02455,MASE_RS04035,MASE_04070,ACZ81_RS04535,ACZ81_04540
MIT1002_00944,TK37_RS02460,MASE_RS04040,MASE_04075,ACZ81_RS04540,ACZ81_04545
MIT1002_00945,TK37_RS02465,MASE_RS04045,MASE_04080,ACZ81_RS04545,ACZ81_04550
MIT1002_00946,TK37_RS02470,MASE_RS04050,MASE_04085,ACZ81_RS04550,ACZ81_04555
MIT1002_00948,TK37_RS02480,MASE_RS04060,MASE_04100,ACZ81_RS04560,ACZ81_04565
MIT1002_00949,TK37_RS02485,MASE_RS04065,MASE_04105,ACZ81_RS04565,ACZ81_04570
MIT1002_00950,TK37_RS02490,MASE_RS04070,MASE_04110,ACZ81_RS04570,ACZ81_04575
MIT1002_00951,TK37_RS02495,MASE_RS04145,MASE_04190,ACZ81_RS04575,ACZ81_04580
MIT1002_00952,TK37_RS02500,MASE_RS04150,MASE_04195,ACZ81_RS04580,ACZ81_04585
MIT1002_00953,TK37_RS02505,MASE_RS04155,MASE_04200,ACZ81_RS04585,ACZ81_04590
MIT1002_00954,TK37_RS02510,MASE_RS04160,MASE_04205,ACZ81_RS04590,ACZ81_04595
MIT1002_00955,TK37_RS02515,MASE_RS04165,MASE_04210,ACZ81_RS04595,ACZ81_04600
MIT1002_00956,TK37_RS02520,MASE_RS04170,MASE_04215,ACZ81_RS04600,ACZ81_04605
MIT1002_00957,TK37_RS02525,MASE_RS04175,MASE_04220,ACZ81_RS04605,ACZ81_04610
MIT1002_00958,TK37_RS02530,MASE_RS04180,MASE_04225,ACZ81_RS04610,ACZ81_04615
MIT1002_00959,TK37_RS02535,MASE_RS04185,MASE_04230,ACZ81_RS04615,ACZ81_04620
MIT1002_00960,TK37_RS02540,MASE_RS04190,MASE_04235,ACZ81_RS04620,ACZ81_04625
MIT1002_00961,TK37_RS02545,MASE_RS04195,MASE_04240,ACZ81_RS04625,ACZ81_04630
MIT1002_00962,TK37_RS02550,MASE_RS04200,MASE_04245,ACZ81_RS04630,ACZ81_04635
MIT1002_00963,TK37_RS02555,MASE_RS04205,MASE_04250,ACZ81_RS04635,ACZ81_04640
MIT1002_00964,TK37_RS02560,MASE_RS04210,MASE_04255,ACZ81_RS04640,ACZ81_04645
MIT1002_00965,TK37_RS02565,MASE_RS04215,MASE_04260,ACZ81_RS04645,ACZ81_04650
MIT1002_00966,TK37_RS02570,MASE_RS04220,MASE_04265,ACZ81_RS04650,ACZ81_04655
MIT1002_00967,TK37_RS02575,MASE_RS04225,MASE_04270,ACZ81_RS04655,ACZ81_04660
MIT1002_00968,TK37_RS02580,MASE_RS04230,MASE_04275,ACZ81_RS04660,ACZ81_04665
MIT1002_00969,TK37_RS02585,MASE_RS04235,MASE_04280,ACZ81_RS04665,ACZ81_04670
MIT1002_00970,TK37_RS02590,MASE_RS04240,MASE_04285,ACZ81_RS04670,ACZ81_04675
MIT1002_00971,TK37_RS02595,MASE_RS04245,MASE_04290,ACZ81_RS04675,ACZ81_04680
MIT1002_00972,TK37_RS02600,MASE_RS04250,MASE_04295,ACZ81_RS04680,ACZ81_04685
MIT1002_00973,TK37_RS02605,MASE_RS04255,MASE_04300,ACZ81_RS04685,ACZ81_04690
MIT1002_00974,TK37_RS02610,MASE_RS04260,MASE_04305,ACZ81_RS04690,ACZ81_04695
MIT1002_00975,TK37_RS02615,MASE_RS04265,MASE_04310,ACZ81_RS04695,ACZ81_04700
MIT1002_00976,TK37_RS02620,MASE_RS04270,MASE_04315,ACZ81_RS04700,ACZ81_04705
MIT1002_00977,TK37_RS02625,MASE_RS04275,MASE_04320,ACZ81_RS04705,ACZ81_04710
MIT1002_00978,TK37_RS02630,MASE_RS04280,MASE_04325,ACZ81_RS04710,ACZ81_04715
MIT1002_00979,TK37_RS02635,MASE_RS04285,MASE_04330,ACZ81_RS04720,ACZ81_04725
MIT1002_00980,TK37_RS02640,MASE_RS04290,MASE_04335,ACZ81_RS04725,ACZ81_04730
MIT1002_00981,TK37_RS02645,MASE_RS04295,MASE_04340,ACZ81_RS04730,ACZ81_04735
MIT1002_00982,TK37_RS02650,MASE_RS04300,MASE_04345,ACZ81_RS04735,ACZ81_04740
MIT1002_00983,TK37_RS02655,MASE_RS04305,MASE_04350,ACZ81_RS04740,ACZ81_04745
MIT1002_00984,TK37_RS02660,MASE_RS04310,MASE_04355,ACZ81_RS04745,ACZ81_04750
MIT1002_00985,TK37_RS02665,MASE_RS04315,MASE_04360,ACZ81_RS04750,ACZ81_04755
MIT1002_00986,TK37_RS02670,MASE_RS04320,MASE_04365,ACZ81_RS04755,ACZ81_04760
MIT1002_00987,TK37_RS02675,MASE_RS04325,MASE_04370,ACZ81_RS04760,ACZ81_04765
MIT1002_00988,TK37_RS02680,MASE_RS04330,MASE_04375,ACZ81_RS04765,ACZ81_04770
MIT1002_00989,TK37_RS02685,MASE_RS04335,MASE_04380,ACZ81_RS04770,ACZ81_04775
MIT1002_00990,TK37_RS02690,MASE_RS04340,MASE_04385,ACZ81_RS04775,ACZ81_04780
MIT1002_00991,TK37_RS02695,MASE_RS04345,MASE_04390,ACZ81_RS04780,ACZ81_04785
MIT1002_00992,TK37_RS02700,MASE_RS04350,MASE_04395,ACZ81_RS04785,ACZ81_04790
MIT1002_00995,TK37_RS02715,MASE_RS04355,MASE_04400,ACZ81_RS04790,ACZ81_04795
MIT1002_00996,TK37_RS02720,MASE_RS04360,MASE_04405,ACZ81_RS04795,ACZ81_04800
MIT1002_00997,TK37_RS02725,MASE_RS04365,MASE_04410,ACZ81_RS04800,ACZ81_04805
MIT1002_00998,TK37_RS02730,MASE_RS04370,MASE_04415,ACZ81_RS04805,ACZ81_04810
MIT1002_00999,TK37_RS02735,MASE_RS04375,MASE_04420,ACZ81_RS04810,ACZ81_04815
MIT1002_01000,TK37_RS02740,MASE_RS04380,MASE_04425,ACZ81_RS04815,ACZ81_04820
MIT1002_01001,TK37_RS02745,MASE_RS04385,MASE_04430,ACZ81_RS04820,ACZ81_04825
MIT1002_01002,TK37_RS02750,MASE_RS04390,MASE_04435,ACZ81_RS04825,ACZ81_04830
MIT1002_01004,TK37_RS02755,MASE_RS04395,MASE_04440,ACZ81_RS04830,ACZ81_04835
MIT1002_01005,TK37_RS02760,MASE_RS04400,MASE_04445,ACZ81_RS04835,ACZ81_04840
MIT1002_01006,TK37_RS02765,MASE_RS04405,MASE_04450,ACZ81_RS04840,ACZ81_04845
MIT1002_01007,TK37_RS02770,MASE_RS04410,MASE_04455,ACZ81_RS04845,ACZ81_04850
MIT1002_01008,TK37_RS02775,MASE_RS04415,MASE_04460,ACZ81_RS04850,ACZ81_04855
MIT1002_01009,TK37_RS02780,MASE_RS04420,MASE_04465,ACZ81_RS04855,ACZ81_04860
MIT1002_01010,TK37_RS02785,MASE_RS04425,MASE_04470,ACZ81_RS04860,ACZ81_04865
MIT1002_01011,TK37_RS02790,MASE_RS04430,MASE_04475,ACZ81_RS04865,ACZ81_04870
MIT1002_01012,TK37_RS02795,MASE_RS04435,MASE_04480,ACZ81_RS04870,ACZ81_04875
MIT1002_01013,TK37_RS02800,MASE_RS04440,MASE_04485,ACZ81_RS04875,ACZ81_04880
MIT1002_01014,TK37_RS02805,MASE_RS04445,MASE_04490,ACZ81_RS04880,ACZ81_04885
MIT1002_01015,TK37_RS02810,MASE_RS04450,MASE_04495,ACZ81_RS04885,ACZ81_04890
MIT1002_01016,TK37_RS02815,MASE_RS04455,MASE_04500,ACZ81_RS04890,ACZ81_04895
MIT1002_01017,TK37_RS02820,MASE_RS04460,MASE_04505,ACZ81_RS04895,ACZ81_04900
MIT1002_01018,TK37_RS02825,MASE_RS04465,MASE_04510,ACZ81_RS04900,ACZ81_04905
MIT1002_01019,TK37_RS02830,MASE_RS04470,MASE_04515,ACZ81_RS04905,ACZ81_04910
MIT1002_01020,TK37_RS02835,MASE_RS04475,MASE_04520,ACZ81_RS04910,ACZ81_04915
MIT1002_01021,TK37_RS02840,MASE_RS04480,MASE_04525,ACZ81_RS04915,ACZ81_04920
MIT1002_01022,TK37_RS02845,MASE_RS04485,MASE_04530,ACZ81_RS04920,ACZ81_04925
MIT1002_01023,TK37_RS02850,MASE_RS04490,MASE_04535,ACZ81_RS04925,ACZ81_04930
MIT1002_01024,TK37_RS02855,MASE_RS04495,MASE_04540,ACZ81_RS04930,ACZ81_04935
MIT1002_01026,TK37_RS02865,MASE_RS04505,MASE_04550,ACZ81_RS04935,ACZ81_04940
MIT1002_01027,TK37_RS02870,MASE_RS04510,MASE_04555,ACZ81_RS04940,ACZ81_04945
MIT1002_01029,TK37_RS02880,MASE_RS04520,MASE_04560,ACZ81_RS04950,ACZ81_04955
MIT1002_01032,TK37_RS02890,MASE_RS04570,MASE_04610,ACZ81_RS04960,ACZ81_04965
MIT1002_01033,TK37_RS02895,MASE_RS04575,MASE_04615,ACZ81_RS04965,ACZ81_04970
MIT1002_01034,TK37_RS02900,MASE_RS04580,MASE_04620,ACZ81_RS04970,ACZ81_04975
MIT1002_01035,TK37_RS02905,MASE_RS04585,MASE_04625,ACZ81_RS04975,ACZ81_04980
MIT1002_01036,TK37_RS02910,MASE_RS04590,MASE_04630,ACZ81_RS04980,ACZ81_04985
MIT1002_01037,TK37_RS02915,MASE_RS04595,MASE_04635,ACZ81_RS04985,ACZ81_04990
MIT1002_01039,TK37_RS02925,MASE_RS04605,MASE_04650,ACZ81_RS04995,ACZ81_05000
MIT1002_01040,TK37_RS02930,MASE_RS04610,MASE_04655,ACZ81_RS05000,ACZ81_05005
MIT1002_01041,TK37_RS02935,MASE_RS04615,MASE_04660,ACZ81_RS05005,ACZ81_05010
MIT1002_01042,TK37_RS02940,MASE_RS04620,MASE_04665,ACZ81_RS05010,ACZ81_05015
MIT1002_01043,TK37_RS02945,MASE_RS04625,MASE_04670,ACZ81_RS05015,ACZ81_05020
MIT1002_01046,TK37_RS20015,MASE_RS04630,MASE_04675,ACZ81_RS05020,ACZ81_05025
MIT1002_01047,TK37_RS20010,MASE_RS04635,MASE_04680,ACZ81_RS05025,ACZ81_05030
MIT1002_01048,TK37_RS20005,MASE_RS04640,MASE_04685,ACZ81_RS05030,ACZ81_05035
MIT1002_01049,TK37_RS20000,MASE_RS04645,MASE_04690,ACZ81_RS05035,ACZ81_05040
MIT1002_01050,TK37_RS19995,MASE_RS04650,MASE_04695,ACZ81_RS05040,ACZ81_05045
MIT1002_01051,TK37_RS19990,MASE_RS04655,MASE_04700,ACZ81_RS05045,ACZ81_05050
MIT1002_01053,TK37_RS19980,MASE_RS04665,MASE_04710,ACZ81_RS05060,ACZ81_05065
MIT1002_01055,TK37_RS13090,MASE_RS19875,MASE_04715,ACZ81_RS05070,ACZ81_05075
MIT1002_01056,TK37_RS13085,MASE_RS04675,MASE_04720,ACZ81_RS05075,ACZ81_05080
MIT1002_01057,TK37_RS13080,MASE_RS04680,MASE_04725,ACZ81_RS05080,ACZ81_05085
MIT1002_01059,TK37_RS13070,MASE_RS04690,MASE_04735,ACZ81_RS05090,ACZ81_05095
MIT1002_01073,TK37_RS13005,MASE_RS04755,MASE_04795,ACZ81_RS05125,ACZ81_05130
MIT1002_01076,TK37_RS12990,MASE_RS04760,MASE_04800,ACZ81_RS05100,ACZ81_05105
MIT1002_01077,TK37_RS12985,MASE_RS04765,MASE_04805,ACZ81_RS05095,ACZ81_05100
MIT1002_01078,TK37_RS12980,MASE_RS04730,MASE_04770,ACZ81_RS05130,ACZ81_05135
MIT1002_01079,TK37_RS12975,MASE_RS04735,MASE_04775,ACZ81_RS05135,ACZ81_05140
MIT1002_01080,TK37_RS12970,MASE_RS04775,MASE_04815,ACZ81_RS05140,ACZ81_05145
MIT1002_01081,TK37_RS12965,MASE_RS04780,MASE_04820,ACZ81_RS05145,ACZ81_05150
MIT1002_01082,TK37_RS12960,MASE_RS04785,MASE_04825,ACZ81_RS05150,ACZ81_05155
MIT1002_01083,TK37_RS12955,MASE_RS04790,MASE_04830,ACZ81_RS05155,ACZ81_05160
MIT1002_01084,TK37_RS12950,MASE_RS04795,MASE_04835,ACZ81_RS05160,ACZ81_05165
MIT1002_01085,TK37_RS12945,MASE_RS04800,MASE_04840,ACZ81_RS05165,ACZ81_05170
MIT1002_01086,TK37_RS12940,MASE_RS04805,MASE_04845,ACZ81_RS05170,ACZ81_05175
MIT1002_01087,TK37_RS12935,MASE_RS04810,MASE_04850,ACZ81_RS05175,ACZ81_05180
MIT1002_01088,TK37_RS12930,MASE_RS04815,MASE_04855,ACZ81_RS05180,ACZ81_05185
MIT1002_01089,TK37_RS12925,MASE_RS04820,MASE_04860,ACZ81_RS05185,ACZ81_05190
MIT1002_01090,TK37_RS12920,MASE_RS04825,MASE_04865,ACZ81_RS05190,ACZ81_05195
MIT1002_01091,TK37_RS12915,MASE_RS04830,MASE_04870,ACZ81_RS05195,ACZ81_05200
MIT1002_01092,TK37_RS12910,MASE_RS04835,MASE_04875,ACZ81_RS05200,ACZ81_05205
MIT1002_01093,TK37_RS12905,MASE_RS04840,MASE_04880,ACZ81_RS05205,ACZ81_05210
MIT1002_01094,TK37_RS12900,MASE_RS04845,MASE_04885,ACZ81_RS05210,ACZ81_05215
MIT1002_01095,TK37_RS12895,MASE_RS04850,MASE_04890,ACZ81_RS05215,ACZ81_05220
MIT1002_01096,TK37_RS12890,MASE_RS04855,MASE_04895,ACZ81_RS05220,ACZ81_05225
MIT1002_01097,TK37_RS12885,MASE_RS04860,MASE_04900,ACZ81_RS05225,ACZ81_05230
MIT1002_01098,TK37_RS12880,MASE_RS04865,MASE_04905,ACZ81_RS05230,ACZ81_05235
MIT1002_01100,TK37_RS12875,MASE_RS04880,MASE_04920,ACZ81_RS05245,ACZ81_05250
MIT1002_01101,TK37_RS12870,MASE_RS04885,MASE_04925,ACZ81_RS05250,ACZ81_05255
MIT1002_01102,TK37_RS12865,MASE_RS04890,MASE_04930,ACZ81_RS05255,ACZ81_05260
MIT1002_01103,TK37_RS12860,MASE_RS04895,MASE_04935,ACZ81_RS05260,ACZ81_05265
MIT1002_01104,TK37_RS12855,MASE_RS04900,MASE_04940,ACZ81_RS05265,ACZ81_05270
MIT1002_01105,TK37_RS12850,MASE_RS04905,MASE_04945,ACZ81_RS05270,ACZ81_05275
MIT1002_01107,TK37_RS12840,MASE_RS04915,MASE_04960,ACZ81_RS05280,ACZ81_05285
MIT1002_01108,TK37_RS12835,MASE_RS04920,MASE_04965,ACZ81_RS05285,ACZ81_05290
MIT1002_01109,TK37_RS12830,MASE_RS04925,MASE_04970,ACZ81_RS05290,ACZ81_05295
MIT1002_01110,TK37_RS12825,MASE_RS04930,MASE_04975,ACZ81_RS05295,ACZ81_05300
MIT1002_01111,TK37_RS12820,MASE_RS04935,MASE_04980,ACZ81_RS05300,ACZ81_05305
MIT1002_01112,TK37_RS12815,MASE_RS04940,MASE_04985,ACZ81_RS05305,ACZ81_05310
MIT1002_01113,TK37_RS12810,MASE_RS04945,MASE_04990,ACZ81_RS05310,ACZ81_05315
MIT1002_01114,TK37_RS12805,MASE_RS04950,MASE_04995,ACZ81_RS05315,ACZ81_05320
MIT1002_01115,TK37_RS12800,MASE_RS04955,MASE_05000,ACZ81_RS05320,ACZ81_05325
MIT1002_01116,TK37_RS12795,MASE_RS04960,MASE_05005,ACZ81_RS05325,ACZ81_05330
MIT1002_01118,TK37_RS11275,MASE_RS04965,MASE_05010,ACZ81_RS05330,ACZ81_05335
MIT1002_01119,TK37_RS11280,MASE_RS04970,MASE_05015,ACZ81_RS05335,ACZ81_05340
MIT1002_01120,TK37_RS11285,MASE_RS04975,MASE_05020,ACZ81_RS05340,ACZ81_05345
MIT1002_01121,TK37_RS11290,MASE_RS04980,MASE_05025,ACZ81_RS05345,ACZ81_05350
MIT1002_01122,TK37_RS11295,MASE_RS04985,MASE_05030,ACZ81_RS05350,ACZ81_05355
MIT1002_01123,TK37_RS11300,MASE_RS04990,MASE_05035,ACZ81_RS05365,ACZ81_05370
MIT1002_01124,TK37_RS11305,MASE_RS04995,MASE_05040,ACZ81_RS05370,ACZ81_05375
MIT1002_01125,TK37_RS11310,MASE_RS05000,MASE_05045,ACZ81_RS05375,ACZ81_05380
MIT1002_01126,TK37_RS11315,MASE_RS05005,MASE_05050,ACZ81_RS05380,ACZ81_05385
MIT1002_01127,TK37_RS11320,MASE_RS05010,MASE_05055,ACZ81_RS05385,ACZ81_05390
MIT1002_01128,TK37_RS11325,MASE_RS05015,MASE_05060,ACZ81_RS05390,ACZ81_05395
MIT1002_01129,TK37_RS11330,MASE_RS05020,MASE_05065,ACZ81_RS05395,ACZ81_05400
MIT1002_01134,TK37_RS11355,MASE_RS05045,MASE_05075,ACZ81_RS05420,ACZ81_05425
MIT1002_01135,TK37_RS11360,MASE_RS05050,MASE_05080,ACZ81_RS05425,ACZ81_05430
